"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","wp_page_template","post_format","comment_status","ping_status","pinged","post_parent","menu_order","era_ecoregion_to_come_under_the_title","era_ecoregion_know_more_link","pods_caption","pods_alt_text","pods_description","pods_file_name","pods_title","et_enqueued_post_fonts","title","meta_desc","meta-robots-noindex","meta-robots-nofollow","meta-robots-adv","bctitle","canonical","redirect","opengraph-title","opengraph-description","opengraph-image","twitter-title","twitter-description","twitter-image","google-plus-title","google-plus-description","google-plus-image","focus_keyword","schema_page_type","schema_article_type","cornerstone-content","focuskeywords","keywordsynonyms"
"Deccan thorn scrub forests","5526","This large, semi-arid region, primarily situated on the Deccan Plateau, is characterised by sparsely vegetated, thorn forest or savanna like forests. The ecoregion has a complex and diverse geological history influencing the unique formations in the region. Strong edaphic factors, a low rainfall and harsh climate has resulted in a specialised diverse group of plants and animals adapted to the rocky outcrops and hill ranges and the various basins and biogeographic regions of the scrub ecosystem. This region houses the floodplains and basins of most of the major rivers of peninsular India. This area is considered one of the most ancient geological landscapes with a rich biological and cultural history.",,"2022-07-11 14:25:33","deccan-thorn-scrub-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://era-india.org/resources/deccan-thorn-scrub-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://era-india.org/resources/deccan-thorn-scrub-forests/</a>",,,,,,"Mulish:200,300,regular,500,600,700,800,900,200italic,300italic,italic,500italic,600italic,700italic,800italic,900italic","Deccan thorn scrub forests",,,,,,,,,,,,,,,,,,,,,,
"East Deccan dry-evergreen forests","5527","This ecoregion, with its unique dry-evergreen forest type of natural vegetation, is found along the plains and low hills in south-east India—southern Andhra Pradesh, eastern Tamil Nadu, and Puducherry. The main natural vegetation type is a low statured (8 – 12 m) forest with mostly evergreen tree, liana, and shrub species, along with some deciduous trees. Evergreen plant species, including trees, lianas, and shrubs, dominate the forest making up more than two thirds of the floral community. Deciduous and brevi-deciduous species make up about a third of the plant species. Climbers are many, while shrubs include some thorny species. Bamboos are usually absent and grass and herbs are present but not abundant in the dark understorey.",,"2022-07-11 14:25:33","east-deccan-dry-evergreen-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://era-india.org/resources/east-deccan-dry-evergreen-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://era-india.org/resources/east-deccan-dry-evergreen-forests/</a>",,,,,,,"East Deccan dry-evergreen forests",,,,,,,,,,,,,,,,,,,,,,
"South Deccan Plateau dry deciduous forests","5528","The ecoregion is nestled between the Western Ghats and the Eastern Ghats and spans most of central Tamil Nadu and extends into southwest Karnataka. This broad ecoregion extends as clustered forest tracts on hill ranges surrounded by agrarian land. The landscape is shaped by the five rain-deficit months each year. Annual precipitation ranges from as low as 500 mm in some years to as much as 2000 mm in other extremes, with an average between 900 –1300 mm. The forest type is dominated by a deciduous tree canopy (at about 20 m height) with variable and geography-specific understoreys of lianas, shrubs, and some evergreen trees. The understorey significantly includes grasses, besides shrubs and annual herbs.",,"2022-07-11 14:25:33","south-deccan-plateau-dry-deciduous-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://era-india.org/resources/south-deccan-plateau-dry-deciduous-forests"" target=""_blank"" rel=""noopener noreferrer"">https://era-india.org/resources/south-deccan-plateau-dry-deciduous-forests</a>",,,,,,"Mulish:200,300,regular,500,600,700,800,900,200italic,300italic,italic,500italic,600italic,700italic,800italic,900italic","South Deccan Plateau dry deciduous forests",,,,,,,,,,,,,,,,,,,,,,
"South Western Ghats moist deciduous forests","5529","Forests in this ecoregion are a tall-stature, distinctly seasonal forest type that creates a transition from the wet rainforests regions of the plateaus and hill ranges of the southern Western Ghats and the surrounding drier plains. A large proportion of this is within protected areas and form the largest single contiguous belt of forest in south India, playing a crucial role in the survival and sustenance of large mammal species as well as for local and global seasonal migrant populations of birds and insects. Distinctly seasonal with annual rainfall between 1300 mm and 2400 mm.",,"2022-07-11 14:25:34","south-western-ghats-moist-deciduous-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://era-india.org/resources/south-western-ghats-moist-deciduous-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://era-india.org/resources/south-western-ghats-moist-deciduous-forests/</a>",,,,,,,"South Western Ghats moist deciduous forests",,,,,,,,,,,,,,,,,,,,,,
"South Western Ghats montane rainforests","5530","This ecoregion is part of the Western Ghats biodiversity hotspot and plays a crucial role as the source for a majority of large rivers and streams across the southern peninsula. This region receives between 2500 to over 7000 mm of rainfall per annum with 7 - 10 months of the year having a majority of rainy days. The dominant vegetation type includes multi-storeyed, tall evergreen forests with high plant diversity and density, and high rates of endemism. The storeys are made up of the emergent canopy (40 - 60 m), the main canopy (20 - 35 m), the subcanopy and the understorey. The forests have low-, middle- and high-elevation types, with plant community varying from south to north.",,"2022-07-11 14:25:34","south-western-ghats-montane-rainforests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://era-india.org/resources/south-western-ghats-montane-rainforest/"" target=""_blank"" rel=""noopener noreferrer"">https://era-india.org/resources/south-western-ghats-montane-rainforest/</a>",,,,,,,"South Western Ghats montane rainforests",,,,,,,,,,,,,,,,,,,,,,
"North Western Ghats moist deciduous forests","5531","The North Western Ghats Moist Deciduous Forests are in the transitional zone between wet evergreen forests and dry deciduous forests surrounding the Western Ghats escarpment to the east and coastal forests to the west. This ecoregion is situated in the rain shadow belts of land that span out from the precipitation peaks found in along the crest of the Deccan plateau before it slopes down to the Arabian sea. Moist deciduous forests are tall and stratured with the emergent trees attaining a height of 30 - 40 m. The canopy is between 20 - 30 m tall followed by a smaller layer of sub-canopy trees. Shrubs and lianas are quite variable in density and occurrence",,"2022-07-11 14:25:37","north-western-ghats-moist-deciduous-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://era-india.org/resources/north-western-ghats-moist-deciduous-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://era-india.org/resources/north-western-ghats-moist-deciduous-forests/</a>",,,,,,"Mulish:200,300,regular,500,600,700,800,900,200italic,300italic,italic,500italic,600italic,700italic,800italic,900italic","North Western Ghats moist deciduous forests",,,,,,,,,,,,,,,,,,,,,,
"North Western Ghats montane rainforests","5532","This ecoregion along with the South Western Ghats Montane Rainforests are part of the global biodiversity hotspot hosting a large proportion of endemic and rare species. The northern Western Ghats (also often called the Sahyadri) are geologically distinct from southern regions as they are a direct extension of the lateral geological belt of the Deccan Plateau, as the large formations of basalt fall away to the Malabar coast. This region thus contains unique geological formations of ridges, plateaus and rocky outcrops and associated plant and communities. Some areas receive as much as 8000 mm of rainfall per annum and is the origin of many major river systems in peninsular India.",,"2022-07-11 14:25:37","north-western-ghats-montane-rainforests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://era-india.org/resources/north-western-ghats-montane-rainforest/"" target=""_blank"" rel=""noopener noreferrer"">https://era-india.org/resources/north-western-ghats-montane-rainforest/</a>",,,,,,"Mulish:200,300,regular,500,600,700,800,900,200italic,300italic,italic,500italic,600italic,700italic,800italic,900italic","North Western Ghats montane rainforests",,,,,,,,,,,,,,,,,,,,,,
"Godavari-Krishna mangroves","5533","This ecoregion forms intertidal coastal ecosystems along much of the eastern coast of the Indian Peninsula. These form larger mangrove forest tracts around the deltas of the major east-flowing river systems with mangrove belts along mudflats and coasts. They form dense interlocked stands of specialised trees adapted to recurring inundation, high salinity, and the dynamic coast – ocean interface. Species of <em>Avicennia, Rhizophora, Sonneratia,</em> and <em>Bruguiera</em> occur. The mangroves shield the eastern shoreline against extreme climate events and large-scale erosion. For all their ecological and social value, mangrove ecosystems are little known and are threatened by anthropogenic pressures like urbanisation, industrial intrusion, farming, and pollution.",,"2022-07-11 14:25:37","godavari-krishna-mangroves","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/godavari-krishna-mangroves/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/godavari-krishna-mangroves/</a>",,,,,,,"Godavari-Krishna mangroves",,,,,,,,,,,,,,,,,,,,,,
"Malabar Coast moist forests","5534","This ecoregion, although now densely populated and transformed, may have likely had extensive swathes of rain forest stretching for over 1,400 km along the western coast of the Indian Subcontinent, from Mumbai in the north to the southern tip of India. The ecoregion extends from the coast to the 250 m elevation contour of the steep Western Ghats Mountains a few kilometers inland. Over 2,500 mm of annual rainfall and abundance of water create wet conditions in the lowlands that influence the vegetation. The characteristic trees are species of genera <em>Tetrameles, Stereospermum, Ficus, Dysoxylum, Pterocarpus, Terminalia, Dalbergia, Madhuca,</em> and <em>Mangifera</em> (wild mango). Myristica swamps and the inland lagoons also occur with unique vegetation.",,"2022-07-11 14:25:38","malabar-coast-moist-forests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/malabar-coast-moist-forests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/malabar-coast-moist-forests/</a>",,,,,,,"Malabar Coast moist forests",,,,,,,,,,,,,,,,,,,,,,
"Andaman Islands rainforests","5535","This ecoregion spans the Andaman Islands, part of an archipelago that continues southward to the Nicobar Islands in the Bay of Bengal. Over 2,500 flowering plant species have been recorded from these small islands, of which 10% are endemic. The equatorial, oceanic climate is pleasant and tropical, with temperatures ranging from 22°to 30°C. Annual rainfall is around 3,000–3,800 mm and falls mostly during the monsoons, during which cyclonic winds and thunderstorms can be frequent. The vegetation transitions from coastal and mangrove forests to evergreen and deciduous forests inland. The mangroves are dominated by species of the family Rhizophoraceae, while the inland forests are dominated by trees in the family Dipterocarpaceae that are typical in Asian mainland forests.",,"2022-07-11 14:25:38","andaman-islands-rainforests","era_ad","publish",,,"standard","closed","closed",,"0","0","Source: Modified from One Earth CC BY-NC","<a href=""https://www.oneearth.org/ecoregions/andaman-islands-rainforests/"" target=""_blank"" rel=""noopener noreferrer"">https://www.oneearth.org/ecoregions/andaman-islands-rainforests/</a>",,,,,,,"Andaman Islands rainforests",,,,,,,,,,,,,,,,,,,,,,
