"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","wp_page_template","post_format","comment_status","ping_status","pinged","post_parent","menu_order","era_species_ecoregion_new","era_species_common_name","era_species_img_credit","era_species_related_projects","pods_caption","pods_alt_text","pods_description","pods_file_name","pods_title","title","meta_desc","meta-robots-noindex","meta-robots-nofollow","meta-robots-adv","bctitle","canonical","redirect","opengraph-title","opengraph-description","opengraph-image","twitter-title","twitter-description","twitter-image","google-plus-title","google-plus-description","google-plus-image","focus_keyword","schema_page_type","schema_article_type","cornerstone-content","focuskeywords","keywordsynonyms"
"Acacia senegal","4197",,,"2022-06-15 13:04:26","acacia-senegal","era_ad","publish","https://era-india.org/wp-content/uploads/2022/06/Acaciasenegal-PradipKrishen.jpg",,"standard","closed","closed",,"0","0","Thar Desert","Acacia senegal",,"2096",,,,,,"Acacia senegal",,,,,,,,,,,,,,,,,,,,,,
"Actiniopteris radiata","4198",,,"2022-06-15 13:04:26","actiniopteris-radiata","era_ad","publish","https://era-india.org/wp-content/uploads/2022/06/10.Actiniopterisfern-PradipKrishen.jpg",,"standard","closed","closed",,"0","0","Aravalli west thorn scrub forests","Actiniopteris radiata",,"2099",,,,,,"Actiniopteris radiata",,,,,,,,,,,,,,,,,,,,,,
"Actinodaphne bourdillonii","4199",,,"2022-06-15 13:04:27","actinodaphne-bourdillonii","era_ad","publish","https://era-india.org/wp-content/uploads/2022/06/Actinodaphne_bourdillonii_Andiparai_DSCN0473.jpg",,"standard","closed","closed",,"0","0","South Western Ghats montane rainforests","Actinodaphne bourdillonii",,"29,1551,1586,2582,2588",,,,,,"Actinodaphne bourdillonii",,,,,,,,,,,,,,,,,,,,,,
"Actinodaphne malabarica","4200",,,"2022-06-15 13:04:28","actinodaphne-malabarica","era_ad","publish","https://era-india.org/wp-content/uploads/2022/06/01-Actinodaphne_malabarica_Varattuparai-ArjunSingh.jpg",,"standard","closed","closed",,"0","0","South Western Ghats montane rainforests","Actinodaphne malabarica",,"2074",,,,,,"Actinodaphne malabarica",,,,,,,,,,,,,,,,,,,,,,
"Aerva pseudotomentosa","4201",,,"2022-06-15 13:04:28","aerva-pseudotomentosa","era_ad","publish","https://era-india.org/wp-content/uploads/2022/06/5.Aervapseudotomentosa-PradipKrishen.jpg",,"standard","closed","closed",,"0","0","Aravalli west thorn scrub forests","Aerva pseudotomentosa",,"2099",,,,,,"Aerva pseudotomentosa",,,,,,,,,,,,,,,,,,,,,,
"Aglaia spectabilis","4202",,,"2022-06-15 13:04:31","aglaia-spectabilis","era_ad","publish","https://era-india.org/wp-content/uploads/2022/06/1-AglaiaspectabilisAmari-NoopurBorawake.jpg",,"standard","closed","closed",,"0","0","Eastern Himalayan broadleaf forests","Aglaia spectabilis",,"2098",,,,,,"Aglaia spectabilis",,,,,,,,,,,,,,,,,,,,,,
"Alangium salvifolium","4203",,,"2022-06-15 13:04:32","alangium-salvifolium","era_ad","publish","https://era-india.org/wp-content/uploads/2022/06/Alangium_Salvifolium_09.jpg",,"standard","closed","closed",,"0","0","North Western Ghats montane rainforests","Alangium salvifolium",,"29,1551,1586,2582,2588",,,,,,"Alangium salvifolium",,,,,,,,,,,,,,,,,,,,,,
"Albizia amara","4204",,,"2022-06-15 13:04:32","albizia-amara","era_ad","publish","https://era-india.org/wp-content/uploads/2022/06/Albizia_amara_subsp._amara_5656890214.jpg",,"standard","closed","closed",,"0","0","Deccan Thorn Scrub forests","Albizia amara",,"29,1551,1586,2582,2588",,,,,,"Albizia amara",,,,,,,,,,,,,,,,,,,,,,
"Albizia lathamii","4205",,,"2022-06-15 13:04:33","albizia-lathamii","era_ad","publish","https://era-india.org/wp-content/uploads/2022/06/3.Albizialathamiicopy-ArjunSingh.jpg",,"standard","closed","closed",,"0","0","Deccan thorn scrub forests","Albizia lathamii",,"2089",,,,,,"Albizia lathamii",,,,,,,,,,,,,,,,,,,,,,
"Anogeissus latifolia","4206",,,"2022-06-15 13:04:34","anogeissus-latifolia","era_ad","publish","https://era-india.org/wp-content/uploads/2022/06/Anogeissus_latifolia_7988024313.jpg",,"standard","closed","closed",,"0","0","South Deccan Plateau Dry Deciduous forests","Anogeissus latifolia",,"29,1551,1586,2582,2588",,,,,,"Anogeissus latifolia",,,,,,,,,,,,,,,,,,,,,,
