"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","wp_page_template","post_format","comment_status","ping_status","pinged","post_parent","menu_order","era_resource_language_new","era_resource_ecoregion_new","era_resource_phase_of_restoration_new","era_resource_state_new","era_publication_file","era_video_link","era_resource_year","era_resource_authors","era_resource_coordinates","era_resource_external_link","pods_caption","pods_alt_text","pods_description","pods_file_name","pods_title","post_category","post_tag","title","meta_desc","meta-robots-noindex","meta-robots-nofollow","meta-robots-adv","bctitle","canonical","redirect","opengraph-title","opengraph-description","opengraph-image","twitter-title","twitter-description","twitter-image","google-plus-title","google-plus-description","google-plus-image","focus_keyword","schema_page_type","schema_article_type","cornerstone-content","focuskeywords","keywordsynonyms"
"Active restoration fosters better recovery of tropical rainforest birds than natural regeneration in degraded forest fragments","1922","Ecological restoration has emerged as a key strategy for conserving tropical forests and habitat specialists, and monitoring faunal recovery using indicator taxa like birds can help assess restoration success. Few studies have examined, however, whether active restoration (AR) achieves better recovery of bird communities than natural regeneration, or how bird recovery relates to habitat affiliations of species in the community.",,"2022-05-27 17:02:03","active-restoration-fosters-better-recovery-of-tropical-rainforest-birds-than-natural-regeneration-in-degraded-forest-fragments","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/10-GreatHornbillsinflightovercanopy_DilanMandanna-ArjunSingh.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests","After","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/Hariharan-and-Raman-2021_online-early-Arjun-Singh.pdf",,"2021","Priyanka Hariharan, T.R. Shankar Raman","10.33016, 76.95977",,,,,,,"Publication","2021,Publication","Active restoration fosters better recovery of tropical rainforest birds than natural regeneration in degraded forest fragments",,,,,,,,,,,,,,,,,,,,,,
"Restoring Nature Wildlife Conservation In Landscapes Fragmented By Plantation Crops","1923","Agricultural expansion has historically been a major global cause for the loss and fragmentation of natural ecosystems, and remains one of the largest threats to the world's remaining tropical forests today. In tropical regions, conservation concerns have arisen over the implications of the anticipated increase in the area under agriculture by as much as twenty-five percent. Concomitant with biodiversity loss due to extinctions, the loss of tropical forests may lead to decrease in ecosystem services of great value to humanity such as carbon storage in biomass and soils, watershed regulation and rainfall, modulation of climate and river flows, and amelioration of infectious disease and human-wildlife conflicts.",,"2022-05-27 17:02:03","restoring-nature-wildlife-conservation-in-landscapes-fragmented-by-plantation-crops","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/02-KalyanVarma_DJI00272-ArjunSingh.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests","Starting,During","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/Mudappa-et-al-2014-Nature-without-Borders-Arjun-Singh.pdf",,"2014","Divya Mudappa, M Ananda Kumar, T.R. Shankar Raman","10.33016, 76.95978",,,,,,,"Publication","2014,Publication","Restoring Nature Wildlife Conservation In Landscapes Fragmented By Plantation Crops",,,,,,,,,,,,,,,,,,,,,,
"Successional status, seed dispersal mode and overstorey species influence tree regeneration in tropical rain-forest fragments in Western Ghats, India","1924","The effects of fragmentation and overstorey tree diversity on tree regeneration were assessed in tropical rain forests of the Western Ghats, India. Ninety plots were sampled for saplings (1–5 cm diameter at breast height (dbh); 5×5-m plots) and overstorey trees (&gt;9.55 cm dbh; 20×20-m plots) within two fragments (32 ha and 18 ha) and two continuous forests. We tested the hypotheses that fragmentation and expected seed-dispersal declines (1) reduce sapling densities and species richness of all species and old-growth species, and increase recruitment of early-successional species, (2) reduce the prevalence of dispersed recruits and (3) increase influence of local overstorey on sapling densities and richness.",,"2022-05-27 17:02:04","successional-status-seed-dispersal-mode-and-overstorey-species-influence-tree-regeneration-in-tropical-rain-forest-fragments-in-western-ghats-india","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/05-Nursery_Ormosiatravancoricagerminating_DSCN5915-ArjunSingh.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests","During","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/Osuri-et-al-2017_tree-regeneration_fragments_JTE-Arjun-Singh.pdf",,"2017","Anand M. Osuri, Divya Mudappa, T. R. Shankar Raman","10.33016, 76.95979",,,,,,,"Publication","2017,Publication","Successional status, seed dispersal mode and overstorey species influence tree regeneration in tropical rain-forest fragments in Western Ghats, India",,,,,,,,,,,,,,,,,,,,,,
"Canopy cover and ecological restoration increase natural regeneration of rainforest trees in the Western Ghats, India","1925","Restoration of canopy cover through tree planting can assist in overcoming barriers to natural regeneration and catalyze recovery of degraded tropical forests. India has made international pledges to restore millions of hectares of degraded forests by 2030, but lacks empirical research on regeneration under different types of planted and natural overstories to guide this mission. We conducted a field study (65 plots of 25 m2) to examine the influence of overstory type and canopy cover on naturally regenerating tree seedlings across degraded rainforests (DRs), mixed-native species ecological restoration (ER) sites, monoculture eucalypt plantations (MP), and mature “benchmark” rainforests (BR) in the Western Ghats mountains of peninsular India. ER had higher native tree seedling densities and recovered community composition toward BR levels compared to DR, while communities in MP shifted in the opposite direction.",,"2022-05-27 17:02:04","canopy-cover-and-ecological-restoration-increase-natural-regeneration-of-rainforest-trees-in-the-western-ghats-india","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/03-Research_Phenology_IMG_20210701_123314-ArjunSingh.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests","During","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/Osuri_et-al_2021_canopy-cover_restoration_RestEcol_onlineearly-Arjun-Singh.pdf",,"2021","Anand M. Osuri, Divya Mudappa, Srinivasan Kasinathan, T. R. Shankar Raman","10.33016, 76.95980",,,,,,,"Publication","2021,Publication","Canopy cover and ecological restoration increase natural regeneration of rainforest trees in the Western Ghats, India",,,,,,,,,,,,,,,,,,,,,,
"Effects of restoration on tree communities and carbon storage in rainforest fragments of the Western Ghats, India","1926","Ecological restoration is a leading strategy for reversing biodiversity losses and enhancing terrestrial carbon sequestration in degraded tropical forests. There have been few comprehensive assessments of recovery following restoration in fragmented forest landscapes, and the efficacy of active versus passive (i.e., natural regeneration) restoration remains unclear. We examined 11 indicators of forest structure, tree diversity and composition (adult and sapling), and aboveground carbon storage in 25 pairs of actively restored (AR; 7–15 yr after weed removal and mixed-native tree species planting) and naturally regenerating (NR) plots within degraded rainforest fragments, and in 17 less-disturbed benchmark (BM) rainforest plots in the Western Ghats, India.",,"2022-05-27 17:02:04","effects-of-restoration-on-tree-communities-and-carbon-storage-in-rainforest-fragments-of-the-western-ghats-india","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/02_InjiparaIJ04siterestored_in2018-LR-ArjunSingh.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests","After","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/Osuri_et_al-2019-Ecosphere_with_SuppInfo-Arjun-Singh.pdf",,"2019","ANAND M. OSURI, SRINIVASAN KASINATHAN, DIVYA MUDAPPA, T. R. SHANKAR RAMAN","10.33016, 76.95981",,,,,,,"Publication","2019,Publication","Effects of restoration on tree communities and carbon storage in rainforest fragments of the Western Ghats, India",,,,,,,,,,,,,,,,,,,,,,
"Principles for rainforest and grassland restoration in the Anamalai hills","1927",,,"2022-05-27 17:02:07","principles-for-rainforest-and-grassland-restoration-in-the-anamalai-hills","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/Rainforest-and-grassland-restoration-booklet.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests","Starting,During","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/Rainforest-and-grassland-restoration-booklet-Arjun-Singh.pdf",,"2006","Divya Mudappa, T.R. Shankar Raman, Bob Stewart, Tanya Balcar","10.33016, 76.95982",,,,,,,"Publication","2006,Publication","Principles for rainforest and grassland restoration in the Anamalai hills",,,,,,,,,,,,,,,,,,,,,,
"Principles for rainforest and grassland restoration in the Anamalai hills [Tamil]","1928",,,"2022-05-27 17:02:07","principles-for-rainforest-and-grassland-restoration-in-the-anamalai-hills-tamil","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/RainforestandgrasslandrestorationTamilbooklet-ArjunSingh-1.jpg",,"standard","closed","closed",,"0","0","Tamil","South Western Ghats montane rainforests","Starting,During","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/Rainforest-and-grassland-restoration-Tamil-booklet-Arjun-Singh.pdf",,"2006","Divya Mudappa, T.R. Shankar Raman, Bob Stewart, Tanya Balcar","10.33016, 76.95983",,,,,,,"Publication","2006,Publication","Principles for rainforest and grassland restoration in the Anamalai hills [Tamil]",,,,,,,,,,,,,,,,,,,,,,
"rainforest restoration: a guide to principles and practice","1931","Successful models of rainforest restoration have emerged from Australia and Thailand, Brazil and India, in recent times (see References). While many learnings can be gleaned from these projects, ecological restoration requires much trial-and-error, and learning from the errors. Some practical aspects of restoration gained from a project aiming to ecologically restore degraded rainforest fragments in the Valparai plateau of the Anamalai hills are presented here. Over the last ten years, this project has worked in partnership with tea and coffee plantation companies to restore degraded sites in twelve rainforest fragments lying within their estates. More than 160 native tree and liana species were raised in a rainforest plant nursery, planted out and monitored in this restoration effort.",,"2022-05-27 17:02:09","rainforest-restoration-a-guide-to-principles-and-practice","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/Rainforest_RestorationBooklet_NCF_India_web-ArjunSingh-1.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests","Starting,During","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/Rainforest_Restoration-Booklet_NCF_India_web-Arjun-Singh.pdf",,"2010","Divya Mudappa, T.R. Shankar Raman","10.33016, 76.95984",,,,,,,"Publication","2010,Publication","rainforest restoration: a guide to principles and practice",,,,,,,,,,,,,,,,,,,,,,
"Restoring Rainforest Fragments: Survival of Mixed-Native Species Seedlings under Contrasting Site Conditions in the Western Ghats, India","1933","Historical fragmentation and a current annual deforestation rate of 1.2% in the Western Ghats biodiversity hotspot have resulted in a human-dominated landscape of plantations, agriculture, and developed areas, with embedded rainforest fragments that form biodiversity refuges and animal corridors. On private lands in the Anamalai hills, India, we established restoration sites within three rainforest fragments (5, 19, and 100 ha) representing varying levels of degradation such as open meadow, highly degraded sites with dense Lantana camara invasion, abandoned exotic tree plantations (Eucalyptus grandis and Maesopsis eminii), and sites with mixed-native and exotic tree canopy. Between 2000 and 2004, we planted annually during the southwest monsoon 7,538 nursery-raised seedlings of around 127 species in nine sites (0.15–1.0 ha). Seedlings monitored at 6-monthly intervals showed higher mortality over the dry season than the wet season and survival rates over a 2-year period of between 34.4 and 90.3% under different site conditions. Seedling survival was higher in sites with complete weed removal as against partial removal along planting lines and higher in open meadow and under shade than in sites that earlier had dense weed invasion. Of 44 species examined, survival across sites after 24 months for a majority of species (27 species, 61.4%) was higher than 50%. Retaining regenerating native species during weed clearing operations was crucial for rapid reestablishment of a first layer of canopy to shade out weeds and enhance survival of shade-tolerant rainforest seedlings.",,"2022-05-27 17:02:09","restoring-rainforest-fragments-survival-of-mixed-native-species-seedlings-under-contrasting-site-conditions-in-the-western-ghats-india","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/02-KalyanVarma_DJI00272-ArjunSingh.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests","During","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/Restoration-Ecology-Raman-Mudappa-Kapoor-2009-Arjun-Singh.pdf",,"2009","Divya Mudappa, T.R. Shankar Raman, Vena Kapoor","10.33016, 76.95985",,,,,,,"Publication","2009,Publication","Restoring Rainforest Fragments: Survival of Mixed-Native Species Seedlings under Contrasting Site Conditions in the Western Ghats, India",,,,,,,,,,,,,,,,,,,,,,
"Rainforest Restoration Refuge For Endangered Species","1934","Tall and healthy saplings of rain forest species dot the landscape that was denuded even a few years ago in the Valparai plateau of the Anamalai Hills in the southern part of the Western Ghats. The trees are about four to six feet tall and are nurtured carefully by the Nature Conservation Foundation (NCF), which is demonstrating a whole new way to restore tropical rainforests lost over a century.",,"2022-05-27 17:02:10","rainforest-restoration-refuge-for-endangered-species","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/02_InjiparaIJ04siterestored_in2018-LR-ArjunSingh.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests","During","Tamil Nadu","https://era-india.org/wp-content/uploads/2022/05/The-Hindu-SOE-2006-article-Arjun-Singh.pdf",,"2006","Divya Mudappa, M Ananda Kumar, T.R. Shankar Raman, Vena Kapoor","10.33016, 76.95986",,,,,,,"Article","2006,Article","Rainforest Restoration Refuge For Endangered Species",,,,,,,,,,,,,,,,,,,,,,
"Pillars of Life: Magnificent Trees of the Western Ghats","1935","For millions of years, the forests of the Western Ghats mountains have been home to a host of extraordinary trees. These range from the peculiar conifer, Nageia, whose family origins can be traced back to the age of the dinosaurs, to the grand trees in the rudraksh family, to the jack and fig trees that occupy a familiar presence in India’s forests and countryside. This book showcases thirty remarkable tree species through beautiful illustrations and artwork. It conveys the wonder arising from the beauty, the diversity, the individuality, and magnificence of trees in the Western Ghats, and evokes a greater sensitivity to the diverse values and enrichment that trees bring to our lives.",,"2022-05-27 17:02:12","pillars-of-life-magnificent-trees-of-the-western-ghats","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/Pillars-of-life.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests","Starting","Tamil Nadu",,,"2018","Divya Mudappa, T.R. Shankar Raman","10.33016, 76.95987","https://www.instamojo.com/NCF/pillars-of-life/",,,,,,"Book","2018,Book","Pillars of Life: Magnificent Trees of the Western Ghats",,,,,,,,,,,,,,,,,,,,,,
"A Dream of Trees","1936","This film tells the story of the ecological restoration of degraded tropical rainforests in the Anamalai Hills of the Western Ghats, India. Tropical rainforests are complex ecosystems, home to numerous plants and animals that are intricately connected to each other. This film follows the work of two scientists of the Nature Conservation Foundation, Divya Mudappa and TR Shankar Raman, as they work with their team to restore degraded patches of rainforest in the Anamalai Hills in partnership with tea and coffee plantation companies since 2001. It speaks of the extraordinary values of rainforests and how restoration helps revive forests, bring back wildlife, and pull carbon down from the atmosphere in a time of climate crisis. An instructive story of challenge, limitation, and hope, A Dream of Trees is also an inspiring tale of restoration, of reviving the connections between plants and animals and between people and rainforests in a shared landscape.",,"2022-05-27 17:02:12","a-dream-of-trees","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/DreamofTrees.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests","Starting","Tamil Nadu",,"<iframe title=""A Dream of Trees"" width=""1080"" height=""608"" src=""https://www.youtube.com/embed/biazSyLYsEY?feature=oembed""  allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2020","Divya Mudappa, T.R. Shankar Raman","10.33016, 76.95987",,,,,,,"Video","2020,Video","A Dream of Trees",,,,,,,,,,,,,,,,,,,,,,
"Eco Restoration 2021 1st Webinar- : Rainforest, W Ghats - Divya Mudappa & T. R. Shankar Raman","1937",,,"2022-05-27 17:02:13","eco-restoration-2021-1st-webinar-rainforest-w-ghats-divya-mudappa-t-r-shankar-raman","era_ad","publish","https://era-india.org/wp-content/uploads/2022/05/ISOLA-Divya-Shankar.jpg",,"standard","closed","closed",,"0","0","English","South Western Ghats montane rainforests",,"Tamil Nadu",,"<iframe title=""ECO Restoration 2021 1st Webinar- : RAINFOREST, W GHATS -DIVYA MUDAPPA &amp; T. R. SHANKAR RAMAN"" width=""1080"" height=""608"" src=""https://www.youtube.com/embed/bUiYr4J_oMM?feature=oembed""  allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>","2021","Divya Mudappa, T.R. Shankar Raman","10.33016, 76.95988",,,,,,,"Webinar","2021,Webinar","Eco Restoration 2021 1st Webinar- : Rainforest, W Ghats - Divya Mudappa & T. R. Shankar Raman",,,,,,,,,,,,,,,,,,,,,,
